Count, From, To
52,"outlook.nsd.org","https://outlook.office365.com/owa/nsd.org"
253,"my.nsd.org","https://clever.com/in/northshore"
1999,"mail.nsd.org","https://outlook.office365.com/owa/nsd.org"
15,"helpdesk.nsd.org","https://nsd.incidentiq.com/"
93,"sis.nsd.org","https://wa-nor.edupoint.com/Login.aspx"
42,"library.nsd.org","https://nsd417.follettdestiny.com/"
3,"pd.nsd.org","https://nsd.truenorthlogic.com/"
25,"schoolsales.nsd.org","https://wa-northshore.intouchreceipting.com"
9,"gapps.nsd.org","https://accounts.google.com/ServiceLogin?tmpl=drive&service=wise&sacu=1&hd=apps.nsd.org&continue=https%3A%2F%2Fdrive.google.com&flowName=GlifWebSignIn&flowEntry=ServiceLogin"
10,"records.nsd.org","https://northshore.tedk12.com/Records/"
6,"timecard.nsd.org","https://secure4.saashr.com/ta/6013687.login"
2,"ColdFusion","https://outlook.office365.com/owa/nsd.org"
2,"pdplace.nsd.org","https://nsd.truenorthlogic.com/"
4,"family.nsd.org","https://family.clever.com"
3,"no-cache","https://secure4.saashr.com/ta/6013687.login"
4,"password.nsd.org","https://id.nsd.org/"
